Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 200, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Training from scratch.
  0%|                                                                                             | 0/200 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.3691835403442383, logmi: 0.0067844390869140625
Episode 114, logq_z: -1.515964388847351, logmi: 1.9998755306005478e-05
Episode 115, logq_z: -1.5110092163085938, logmi: -3.9233826100826263e-05
Episode 116, logq_z: -1.524482011795044, logmi: 6.568152457475662e-07
Episode 117, logq_z: -1.48001229763031, logmi: 4.146713763475418e-07
Episode 118, logq_z: -1.4910187721252441, logmi: 9.401468560099602e-06
Episode 119, logq_z: -1.4852075576782227, logmi: -2.9546674340963364e-05
Episode 120, logq_z: -1.500138759613037, logmi: -1.2874137610197067e-05
Episode 121, logq_z: -1.5390924215316772, logmi: -1.5444820746779442e-05
Episode 122, logq_z: -1.5498138666152954, logmi: -2.40374356508255e-06
Episode 123, logq_z: -1.5141232013702393, logmi: 3.781472332775593e-05
Episode 124, logq_z: -1.4916988611221313, logmi: -3.482680767774582e-06
Episode 125, logq_z: -1.5152451992034912, logmi: -4.637287929654121e-06
Episode 126, logq_z: -1.5419178009033203, logmi: 4.6102795749902725e-05
Episode 127, logq_z: -1.5417110919952393, logmi: 1.7368700355291367e-05
Episode 128, logq_z: -1.5425446033477783, logmi: -6.945105269551277e-06
Episode 129, logq_z: -1.4920414686203003, logmi: -8.21240246295929e-06
Episode 130, logq_z: -1.5082800388336182, logmi: 9.535113349556923e-06
Episode 131, logq_z: -1.479906439781189, logmi: 7.2605907917022705e-06
Episode 132, logq_z: -1.4822633266448975, logmi: 1.1736992746591568e-06
Episode 133, logq_z: -1.546018123626709, logmi: -4.416797310113907e-07
Episode 134, logq_z: -1.5407196283340454, logmi: 3.294553607702255e-07
Episode 135, logq_z: -1.49748957157135, logmi: 1.1828960850834846e-05
Episode 136, logq_z: -1.466947317123413, logmi: 5.5907294154167175e-06
Episode 137, logq_z: -1.5285183191299438, logmi: 2.071727067232132e-06
Episode 138, logq_z: -1.4861472845077515, logmi: -1.4427118003368378e-05
Episode 139, logq_z: -1.5216217041015625, logmi: -9.172828868031502e-06
Episode 140, logq_z: -1.5712246894836426, logmi: -2.980930730700493e-06
Episode 141, logq_z: -1.5496279001235962, logmi: 1.6577541828155518e-06
Episode 142, logq_z: -1.5106396675109863, logmi: -8.348841220140457e-06
Episode 143, logq_z: -1.5255125761032104, logmi: 2.90735624730587e-06
Episode 144, logq_z: -1.534387469291687, logmi: -2.500368282198906e-05
Episode 145, logq_z: -1.5804221630096436, logmi: -3.924197517335415e-05
Episode 146, logq_z: -1.5433270931243896, logmi: 1.6640406101942062e-06
Episode 147, logq_z: -1.555864930152893, logmi: -8.802581578493118e-05
Episode 148, logq_z: -1.5306692123413086, logmi: -8.672336116433144e-05
Episode 149, logq_z: -1.5597648620605469, logmi: -1.767394132912159e-05
Episode 150, logq_z: -1.5385934114456177, logmi: -5.121808499097824e-06
Episode 151, logq_z: -1.5376724004745483, logmi: 1.3307202607393265e-05
Episode 152, logq_z: -1.540461540222168, logmi: -9.830575436353683e-06
Episode 153, logq_z: -1.5833773612976074, logmi: -2.011377364397049e-05
Episode 154, logq_z: -1.5681565999984741, logmi: -1.3978919014334679e-05
Episode 155, logq_z: -1.524970531463623, logmi: -3.685150295495987e-05
Episode 156, logq_z: -1.5101655721664429, logmi: 4.281522706151009e-06
Episode 157, logq_z: -1.5199275016784668, logmi: -1.124734990298748e-05
Episode 158, logq_z: -1.5313836336135864, logmi: 4.448462277650833e-06
Episode 159, logq_z: -1.5458236932754517, logmi: -4.4449931010603905e-05
Episode 160, logq_z: -1.5254976749420166, logmi: -3.12968622893095e-05
Episode 161, logq_z: -1.5247983932495117, logmi: -2.3151515051722527e-05
Episode 162, logq_z: -1.534989595413208, logmi: -3.069313243031502e-05
Episode 163, logq_z: -1.521985650062561, logmi: -2.317945472896099e-05
Episode 164, logq_z: -1.5227149724960327, logmi: 1.654704101383686e-05
Episode 165, logq_z: -1.5563448667526245, logmi: -2.5380635634064674e-05
Episode 166, logq_z: -1.5498464107513428, logmi: -0.00011011376045644283
Episode 167, logq_z: -1.5363889932632446, logmi: -7.789651863276958e-05
Episode 168, logq_z: -1.5137622356414795, logmi: -4.3185893446207047e-05
Episode 169, logq_z: -1.5298722982406616, logmi: -1.6101868823170662e-05
Episode 170, logq_z: -1.5313774347305298, logmi: 2.7621397748589516e-05
Episode 171, logq_z: -1.5670790672302246, logmi: -3.699283115565777e-05
Episode 172, logq_z: -1.5571084022521973, logmi: -3.813509829342365e-05
Episode 173, logq_z: -1.505541205406189, logmi: 2.004695124924183e-05
Episode 174, logq_z: -1.5723227262496948, logmi: -1.581176184117794e-05
