Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 2000, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Training from scratch.
  0%|                                                                                            | 0/2000 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.3691835403442383, logmi: 0.0067844390869140625
Episode 133, logq_z: -1.5453951358795166, logmi: -7.825437933206558e-06
Episode 134, logq_z: -1.5405393838882446, logmi: -1.0819174349308014e-05
Episode 135, logq_z: -1.495405673980713, logmi: 8.063158020377159e-06
Episode 136, logq_z: -1.4689021110534668, logmi: -1.0608695447444916e-05
Episode 137, logq_z: -1.5294972658157349, logmi: 6.505288183689117e-07
Episode 138, logq_z: -1.4847760200500488, logmi: -3.0461233109235764e-05
Episode 139, logq_z: -1.5198919773101807, logmi: -1.7405487596988678e-05
Episode 140, logq_z: -1.571390986442566, logmi: -1.1484837159514427e-05
Episode 141, logq_z: -1.5545331239700317, logmi: -9.096693247556686e-06
Episode 142, logq_z: -1.5126478672027588, logmi: -4.3120235204696655e-06
Episode 143, logq_z: -1.524652123451233, logmi: -7.746042683720589e-06
Episode 144, logq_z: -1.5292283296585083, logmi: -2.6677269488573074e-05
Episode 145, logq_z: -1.5757050514221191, logmi: -3.7929974496364594e-05
Episode 146, logq_z: -1.5469598770141602, logmi: -2.293218858540058e-05
Episode 147, logq_z: -1.558301568031311, logmi: -8.416199125349522e-05
Episode 148, logq_z: -1.529301643371582, logmi: -9.308569133281708e-05
Episode 149, logq_z: -1.5582828521728516, logmi: -2.5941524654626846e-05
Episode 150, logq_z: -1.5380163192749023, logmi: -6.642425432801247e-06
Episode 151, logq_z: -1.5338304042816162, logmi: -6.91460445523262e-06
Episode 152, logq_z: -1.5387567281723022, logmi: -1.2106262147426605e-05
Episode 153, logq_z: -1.5851414203643799, logmi: -2.9715942218899727e-05
Episode 154, logq_z: -1.56839919090271, logmi: -1.9530998542904854e-05
Episode 155, logq_z: -1.5234349966049194, logmi: -2.9033981263637543e-05
Episode 156, logq_z: -1.5070734024047852, logmi: -2.5657936930656433e-06
Episode 157, logq_z: -1.5182098150253296, logmi: -7.7045988291502e-06
Episode 158, logq_z: -1.5298213958740234, logmi: 3.1851232051849365e-07
Episode 159, logq_z: -1.5448445081710815, logmi: -5.616946145892143e-05
Episode 160, logq_z: -1.5281680822372437, logmi: -4.261452704668045e-05
Episode 161, logq_z: -1.5246250629425049, logmi: -3.978773020207882e-05
Episode 162, logq_z: -1.5316872596740723, logmi: -3.4125056117773056e-05
Episode 163, logq_z: -1.5201818943023682, logmi: -2.3231375962495804e-05
