Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1000, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 300, 'action_bounds': [-0.01, 0.01], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Training from scratch.
  0%|                                                                                                                            | 0/300 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.513798713684082, logmi: 0.004027336835861206
Episode 201, logq_z: -1.5455470085144043, logmi: -1.6817590221762657e-05
Episode 202, logq_z: -1.4747871160507202, logmi: -2.6819761842489243e-06
Episode 203, logq_z: -1.5091822147369385, logmi: -9.441748261451721e-06
Episode 204, logq_z: -1.5104255676269531, logmi: -1.5408964827656746e-05
Episode 205, logq_z: -1.5517382621765137, logmi: -7.883645594120026e-07
Episode 206, logq_z: -1.5216256380081177, logmi: -2.2097723558545113e-05
Episode 207, logq_z: -1.5573954582214355, logmi: 1.4001037925481796e-05
Episode 208, logq_z: -1.505002737045288, logmi: -1.9459985196590424e-06
Episode 209, logq_z: -1.5151749849319458, logmi: -8.140923455357552e-06
Episode 210, logq_z: -1.4354526996612549, logmi: -2.07521952688694e-05
Episode 211, logq_z: -1.53065025806427, logmi: -1.3298355042934418e-05
Episode 212, logq_z: -1.4978355169296265, logmi: -9.893206879496574e-06
Episode 213, logq_z: -1.4936822652816772, logmi: -2.9578804969787598e-05
Episode 214, logq_z: -1.5412771701812744, logmi: -2.1513551473617554e-07
Episode 215, logq_z: -1.4813518524169922, logmi: -2.7474015951156616e-06
Episode 216, logq_z: -1.5739833116531372, logmi: 2.9439106583595276e-06
Episode 217, logq_z: -1.4996187686920166, logmi: -1.3635493814945221e-05
Episode 218, logq_z: -1.5277739763259888, logmi: -1.1977972462773323e-05
Episode 219, logq_z: -1.5172523260116577, logmi: 5.318084731698036e-06
Episode 220, logq_z: -1.5122181177139282, logmi: -1.0552117601037025e-05
Episode 221, logq_z: -1.4803985357284546, logmi: -2.160598523914814e-05
Episode 222, logq_z: -1.5558589696884155, logmi: -1.656683161854744e-05
Episode 223, logq_z: -1.4716590642929077, logmi: -4.014931619167328e-06
Episode 224, logq_z: -1.5076582431793213, logmi: -3.5179080441594124e-05
Episode 225, logq_z: -1.5335326194763184, logmi: -1.0132789611816406e-05
Episode 226, logq_z: -1.5037035942077637, logmi: 9.64384526014328e-07
Episode 227, logq_z: -1.4498708248138428, logmi: 1.6943085938692093e-06
Episode 228, logq_z: -1.486171007156372, logmi: -7.99284316599369e-06
Episode 229, logq_z: -1.530053734779358, logmi: -1.5133526176214218e-05
Episode 230, logq_z: -1.4943435192108154, logmi: -6.040558218955994e-06
Episode 231, logq_z: -1.510510802268982, logmi: -2.6002759113907814e-05
Episode 232, logq_z: -1.5020155906677246, logmi: -1.2095319107174873e-05
Episode 233, logq_z: -1.5515543222427368, logmi: -6.950460374355316e-06
Episode 234, logq_z: -1.5311954021453857, logmi: -3.0491501092910767e-05
Episode 235, logq_z: -1.4919832944869995, logmi: -1.2368196621537209e-05
Episode 236, logq_z: -1.578857421875, logmi: -1.8959399312734604e-06
Episode 237, logq_z: -1.510036826133728, logmi: -1.8106773495674133e-05
Episode 238, logq_z: -1.5044304132461548, logmi: -4.226434975862503e-05
Episode 239, logq_z: -1.503051519393921, logmi: -2.069980837404728e-05
Episode 240, logq_z: -1.4713735580444336, logmi: -2.744351513683796e-05
Episode 241, logq_z: -1.490070104598999, logmi: -2.265837974846363e-05
Episode 242, logq_z: -1.5227580070495605, logmi: -2.2810883820056915e-05
Episode 243, logq_z: -1.486257553100586, logmi: -1.6426900401711464e-05
Episode 244, logq_z: -1.4813512563705444, logmi: -2.271239645779133e-05
Episode 245, logq_z: -1.521596074104309, logmi: -1.4297198504209518e-05
Episode 246, logq_z: -1.5547120571136475, logmi: -4.496402107179165e-05
Episode 247, logq_z: -1.5293971300125122, logmi: -3.1889649108052254e-05
Episode 248, logq_z: -1.5055280923843384, logmi: -7.236842066049576e-06
Episode 249, logq_z: -1.53657066822052, logmi: -8.631730452179909e-06
Episode 250, logq_z: -1.5659059286117554, logmi: -4.5085325837135315e-06
Episode 251, logq_z: -1.537542462348938, logmi: -4.944857209920883e-06
Episode 252, logq_z: -1.5274547338485718, logmi: -1.4049001038074493e-06
Episode 253, logq_z: -1.498770833015442, logmi: -1.62636861205101e-05
Episode 254, logq_z: -1.5373400449752808, logmi: -1.0377028957009315e-05
Episode 255, logq_z: -1.4729552268981934, logmi: -9.086448699235916e-06
Episode 256, logq_z: -1.4717159271240234, logmi: 3.6924611777067184e-06
Episode 257, logq_z: -1.5052522420883179, logmi: -2.1136365830898285e-05
Episode 258, logq_z: -1.554403305053711, logmi: -9.83639620244503e-06
Episode 259, logq_z: -1.5108462572097778, logmi: -1.595309004187584e-05
Episode 260, logq_z: -1.5487133264541626, logmi: -1.7607351765036583e-05
Episode 261, logq_z: -1.5797080993652344, logmi: -1.3329088687896729e-05
Episode 262, logq_z: -1.5672101974487305, logmi: -2.21962109208107e-05
Episode 263, logq_z: -1.5349472761154175, logmi: -7.89295881986618e-06
Episode 264, logq_z: -1.534712553024292, logmi: -1.6174744814634323e-05
Episode 265, logq_z: -1.5647231340408325, logmi: -7.113441824913025e-06
Episode 266, logq_z: -1.5870128870010376, logmi: -2.2926833480596542e-05
Episode 267, logq_z: -1.5599406957626343, logmi: -2.2691208869218826e-05
Episode 268, logq_z: -1.4638698101043701, logmi: -1.5163794159889221e-05
Episode 269, logq_z: -1.46214759349823, logmi: 6.008893251419067e-06
Episode 270, logq_z: -1.5561884641647339, logmi: 6.2033068388700485e-06
Episode 271, logq_z: -1.5794823169708252, logmi: -2.7407659217715263e-05
Episode 272, logq_z: -1.5426836013793945, logmi: -1.7071142792701721e-06
Episode 273, logq_z: -1.5260404348373413, logmi: -3.5629142075777054e-05
Episode 274, logq_z: -1.533584475517273, logmi: -3.112945705652237e-06
Episode 275, logq_z: -1.543896198272705, logmi: -5.597248673439026e-06
Episode 276, logq_z: -1.5601415634155273, logmi: -4.093442112207413e-05
Episode 277, logq_z: -1.540544033050537, logmi: -1.6604317352175713e-05
Episode 278, logq_z: -1.5370866060256958, logmi: 1.539476215839386e-06
Episode 279, logq_z: -1.5267820358276367, logmi: -3.967410884797573e-05
Episode 280, logq_z: -1.535491943359375, logmi: -1.3554701581597328e-05
Episode 281, logq_z: -1.5561829805374146, logmi: -1.0887626558542252e-05
Episode 282, logq_z: -1.5297434329986572, logmi: -1.6296282410621643e-05
Episode 283, logq_z: -1.5278934240341187, logmi: -3.4319236874580383e-06
Episode 284, logq_z: -1.5588239431381226, logmi: -1.6568228602409363e-05
Episode 285, logq_z: -1.5205512046813965, logmi: -3.6885496228933334e-05
Episode 286, logq_z: -1.5162060260772705, logmi: 2.3748725652694702e-07
Episode 287, logq_z: -1.5171869993209839, logmi: -5.384813994169235e-05
Episode 288, logq_z: -1.525199055671692, logmi: -1.3283686712384224e-05
Episode 289, logq_z: -1.4713836908340454, logmi: -4.1781459003686905e-05
