Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': False, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1000, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 300, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Keep training from previous MI estimator.
  0%|                                                                                                                            | 0/300 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.258951425552368, logmi: 1.2814998626708984e-05
Episode 148, logq_z: -1.593583583831787, logmi: -1.9544269889593124e-05
Episode 149, logq_z: -1.5989818572998047, logmi: -3.0216993764042854e-05
Episode 150, logq_z: -1.634006381034851, logmi: -2.197246067225933e-05
Episode 151, logq_z: -1.6168973445892334, logmi: -2.726074308156967e-05
Episode 152, logq_z: -1.6405346393585205, logmi: -2.8994865715503693e-05
Episode 153, logq_z: -1.5846537351608276, logmi: -2.61855311691761e-05
Episode 154, logq_z: -1.6136394739151, logmi: -2.9389513656497e-05
Episode 155, logq_z: -1.6112273931503296, logmi: -4.6923989430069923e-05
Episode 156, logq_z: -1.596082329750061, logmi: -4.515773616731167e-05
Episode 157, logq_z: -1.5835435390472412, logmi: -7.858546450734138e-05
Episode 158, logq_z: -1.6321508884429932, logmi: -7.793726399540901e-05
Episode 159, logq_z: -1.6035492420196533, logmi: -5.1302602514624596e-05
Episode 160, logq_z: -1.5679287910461426, logmi: -7.195747457444668e-05
Episode 161, logq_z: -1.5798382759094238, logmi: -7.577589713037014e-05
Episode 162, logq_z: -1.581804633140564, logmi: -7.046968676149845e-05
Episode 163, logq_z: -1.600871205329895, logmi: -0.00017781672067940235
Episode 164, logq_z: -1.5527921915054321, logmi: 4.985742270946503e-05
Episode 165, logq_z: -1.589168906211853, logmi: -0.0003382593858987093
Episode 166, logq_z: -1.592331051826477, logmi: -0.0002755322493612766
Episode 167, logq_z: -1.5949991941452026, logmi: -0.0002539989072829485
Episode 168, logq_z: -1.5375062227249146, logmi: -0.00026538269594311714
Episode 169, logq_z: -1.5939569473266602, logmi: -0.00011833594180643559
Episode 170, logq_z: -1.5716904401779175, logmi: -0.000304211862385273
Episode 171, logq_z: -1.5652940273284912, logmi: -0.00021134247072041035
Episode 172, logq_z: -1.5910521745681763, logmi: -0.00012135063298046589
