/home/gentlebear/miniforge3/envs/curiosity/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Demo data loaded with 94 length.
params: {'n_skills': 20, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 64, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 200, 'action_bounds': [-0.005, 0.005], 'epoch_length': 10, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6}
Training from scratch.
  0%|                                                                                             | 0/200 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:74: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -0.6956972049607429, logmi: 0.0007197201251983642
Episode 103, logq_z: -2.908594512939453, logmi: -0.002353769540786743
Episode 104, logq_z: -2.7429973125457763, logmi: 0.0005968630313873291
Episode 105, logq_z: -3.1859891414642334, logmi: -0.0008212924003601074
Episode 106, logq_z: -3.100597858428955, logmi: -0.002274125814437866
Episode 107, logq_z: -2.9372062921524047, logmi: -0.001586151123046875
Episode 108, logq_z: -2.8121033668518067, logmi: -0.00048379898071289064
Episode 109, logq_z: -2.972334051132202, logmi: -0.00014447569847106934
Episode 110, logq_z: -2.9959059238433836, logmi: -0.0021628618240356447
Episode 111, logq_z: -2.734246516227722, logmi: -0.0005948662757873536
Episode 112, logq_z: -2.7786677360534666, logmi: -0.00015529394149780274
Episode 113, logq_z: -3.105473351478577, logmi: -0.0019001901149749757
Episode 114, logq_z: -3.03660135269165, logmi: -0.0008617401123046875
Episode 115, logq_z: -2.8884687423706055, logmi: -0.0039021968841552734
Episode 116, logq_z: -2.719469392299652, logmi: -0.001160299777984619
Episode 117, logq_z: -3.009204959869385, logmi: -0.002360808849334717
Episode 118, logq_z: -2.907086443901062, logmi: 0.000489121675491333
Episode 119, logq_z: -2.7105532765388487, logmi: -0.0009024262428283692
Episode 120, logq_z: -2.8270962238311768, logmi: -0.00011136531829833985
Episode 121, logq_z: -3.017855167388916, logmi: -0.0016441941261291504
Episode 122, logq_z: -2.696535575389862, logmi: -0.0011483430862426758
Episode 123, logq_z: -2.993262457847595, logmi: -0.002808016538619995
Episode 124, logq_z: -2.91295565366745, logmi: 0.0001225113868713379
Episode 125, logq_z: -2.9922335624694822, logmi: 0.00038188695907592773
Episode 126, logq_z: -3.0099284648895264, logmi: -0.0031335651874542236
Episode 127, logq_z: -2.8214679598808288, logmi: -0.000981748104095459
Episode 128, logq_z: -2.872582161426544, logmi: -0.0015309274196624756
Episode 129, logq_z: -2.9978963851928713, logmi: -0.0024664461612701415
Episode 130, logq_z: -2.950528931617737, logmi: 0.00046347379684448243
Episode 131, logq_z: -2.86375572681427, logmi: -0.0008984923362731934
Episode 132, logq_z: -3.0160804986953735, logmi: -0.0005319535732269288
Episode 133, logq_z: -2.884641742706299, logmi: -0.0008167564868927002
Episode 134, logq_z: -2.807282638549805, logmi: -0.0006564795970916748
Episode 135, logq_z: -2.972890782356262, logmi: -0.0009759306907653808
Episode 136, logq_z: -2.771773171424866, logmi: 0.0003752350807189941
Episode 137, logq_z: -2.964000129699707, logmi: -0.00014336705207824708
Episode 138, logq_z: -3.1904571056365967, logmi: -0.0017184019088745117
Episode 139, logq_z: -2.8952374935150145, logmi: -0.0023853421211242677
Episode 140, logq_z: -2.9680449247360228, logmi: -0.0005856812000274658
Episode 141, logq_z: -3.0368762969970704, logmi: 0.0004947066307067871
Episode 142, logq_z: -3.033682918548584, logmi: -0.0031186699867248534
Episode 143, logq_z: -3.029167652130127, logmi: -0.003329223394393921
Episode 144, logq_z: -2.9662202835083007, logmi: -0.006848138570785522
Episode 145, logq_z: -2.9149699449539184, logmi: -0.0013373792171478271
Episode 146, logq_z: -2.7767827033996584, logmi: -0.0005416691303253174
Episode 147, logq_z: -2.7675743818283083, logmi: -0.0005294084548950195
Episode 148, logq_z: -2.8818133592605593, logmi: -0.00014803409576416015
Episode 149, logq_z: -3.12884202003479, logmi: -0.0019381582736968995
Episode 150, logq_z: -3.0184968948364257, logmi: -0.0007807731628417969
Episode 151, logq_z: -2.9951239109039305, logmi: -0.0020383775234222414
Episode 152, logq_z: -2.989974355697632, logmi: -0.0007119655609130859
Episode 153, logq_z: -2.9854602813720703, logmi: -0.002732628583908081
Episode 154, logq_z: -2.8769185543060303, logmi: -0.0018611133098602294
Episode 155, logq_z: -3.1000417709350585, logmi: -0.0011630833148956298
Episode 156, logq_z: -2.8762999296188356, logmi: -0.003032594919204712
Episode 157, logq_z: -3.070305609703064, logmi: 0.00016405582427978516
Episode 158, logq_z: -2.8669939279556274, logmi: -0.00031754374504089355
Episode 159, logq_z: -3.014052653312683, logmi: -0.0011758804321289062
Episode 160, logq_z: -2.9287384510040284, logmi: -0.0008335113525390625
Episode 161, logq_z: -2.977348279953003, logmi: -0.0021271586418151857
Episode 162, logq_z: -3.0466075420379637, logmi: -0.003775256872177124
Episode 163, logq_z: -3.076005458831787, logmi: -0.003259432315826416
Episode 164, logq_z: -2.9217605113983156, logmi: -0.0014470994472503662
Episode 165, logq_z: -3.000180196762085, logmi: -0.0029111146926879884
Episode 166, logq_z: -2.855219340324402, logmi: -0.0009560286998748779
Episode 167, logq_z: -2.9110432386398317, logmi: -0.0013911426067352295
Episode 168, logq_z: -3.074777674674988, logmi: -0.001085728406906128
Episode 169, logq_z: -2.9130637645721436, logmi: -0.001157742738723755
Episode 170, logq_z: -2.948730802536011, logmi: -0.0003902077674865723
Episode 171, logq_z: -3.078878402709961, logmi: -0.0007496356964111328
Episode 172, logq_z: -2.982698345184326, logmi: -0.0014217615127563477
Episode 173, logq_z: -3.0577192544937133, logmi: -0.002837568521499634
Episode 174, logq_z: -3.006121301651001, logmi: -0.0003466010093688965
Episode 175, logq_z: -2.9659429788589478, logmi: -0.001784074306488037
Episode 176, logq_z: -3.036669373512268, logmi: -0.0018535137176513671
Episode 177, logq_z: -2.940390133857727, logmi: -0.0012901782989501952
Episode 178, logq_z: -3.082353711128235, logmi: -0.0026795268058776855
Episode 179, logq_z: -2.9955758571624758, logmi: -0.003151184320449829
Episode 180, logq_z: -2.995998001098633, logmi: -0.004909610748291016
Episode 181, logq_z: -3.0923067331314087, logmi: -0.0025522530078887938
Episode 182, logq_z: -2.9701382160186767, logmi: -0.0008751094341278076
Episode 183, logq_z: -2.9367563486099244, logmi: -0.00029514431953430175
Episode 184, logq_z: -2.9801827907562255, logmi: -0.0018381893634796143
Episode 185, logq_z: -2.961880159378052, logmi: -0.0024774372577667236
Episode 186, logq_z: -2.9385661363601683, logmi: -0.002183181047439575
Episode 187, logq_z: -3.02964825630188, logmi: -0.0020880818367004393
Episode 188, logq_z: -3.041103887557983, logmi: -0.002263450622558594
Episode 189, logq_z: -3.030363178253174, logmi: -0.003477734327316284
Episode 190, logq_z: -3.01119704246521, logmi: -0.003225916624069214
Episode 191, logq_z: -3.0120068788528442, logmi: -0.0002452194690704346
Episode 192, logq_z: -2.9592265129089355, logmi: 0.0002796649932861328
Episode 193, logq_z: -2.9339075565338133, logmi: -0.003134661912918091
Episode 194, logq_z: -2.9895905017852784, logmi: -0.0020921289920806884
Episode 195, logq_z: -3.0272506952285765, logmi: 2.092123031616211e-06
Episode 196, logq_z: -2.9237533092498778, logmi: -0.00036686062812805174
Episode 197, logq_z: -2.9269861936569215, logmi: -0.0007397711277008056
Episode 198, logq_z: -2.930541515350342, logmi: -0.003110313415527344
Episode 199, logq_z: -2.8433644771575928, logmi: -0.00028063058853149413
Policy saved at ./checkpoints/joint_policy_200_2025-05-29-19-35-14.pt
Episode 200, logq_z: -2.9293296575546264, logmi: -0.0008835077285766601
