/home/gentlebear/miniforge3/envs/curiosity/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 2000, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Training from scratch.
  0%|                                                              | 0/2000 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.2492799758911133, logmi: 0.006526052951812744
Episode 121, logq_z: -1.56635582447052, logmi: 6.013317033648491e-06
Episode 122, logq_z: -1.5455583333969116, logmi: -2.7776695787906647e-06
Episode 123, logq_z: -1.5159778594970703, logmi: -8.172588422894478e-06
Episode 124, logq_z: -1.5293000936508179, logmi: 1.9731232896447182e-05
Episode 125, logq_z: -1.5421364307403564, logmi: 3.890367224812508e-06
Episode 126, logq_z: -1.5339853763580322, logmi: 4.374422132968903e-06
Episode 127, logq_z: -1.56858491897583, logmi: -2.316082827746868e-05
Episode 128, logq_z: -1.5446443557739258, logmi: -3.862194716930389e-06
Episode 129, logq_z: -1.5430717468261719, logmi: -1.6131671145558357e-05
Episode 130, logq_z: -1.5171375274658203, logmi: -2.813362516462803e-05
Episode 131, logq_z: -1.5099252462387085, logmi: -6.458954885601997e-06
Episode 132, logq_z: -1.5168005228042603, logmi: -1.4218967407941818e-05
Episode 133, logq_z: -1.5350499153137207, logmi: 1.0309042409062386e-05
Episode 134, logq_z: -1.5253932476043701, logmi: -5.955807864665985e-07
Episode 135, logq_z: -1.5239495038986206, logmi: -1.7388956621289253e-05
Episode 136, logq_z: -1.497795581817627, logmi: 2.6602065190672874e-05
Episode 137, logq_z: -1.55278480052948, logmi: 3.9545586332678795e-05
Episode 138, logq_z: -1.5074594020843506, logmi: 1.1136289685964584e-06
Episode 139, logq_z: -1.5276079177856445, logmi: 4.304037429392338e-05
Episode 140, logq_z: -1.5864439010620117, logmi: -9.057112038135529e-06
Episode 141, logq_z: -1.5826557874679565, logmi: -1.7404556274414062e-05
Episode 142, logq_z: -1.5510591268539429, logmi: 2.3381086066365242e-05
Episode 143, logq_z: -1.5531532764434814, logmi: -1.957826316356659e-05
Episode 144, logq_z: -1.5223770141601562, logmi: 9.586801752448082e-06
Episode 145, logq_z: -1.5890583992004395, logmi: 1.7886050045490265e-06
Episode 146, logq_z: -1.5878435373306274, logmi: 3.3090123906731606e-05
Episode 147, logq_z: -1.5490509271621704, logmi: 7.236376404762268e-06
Episode 148, logq_z: -1.533011794090271, logmi: 1.8558697775006294e-05
Episode 149, logq_z: -1.5690300464630127, logmi: 1.0846182703971863e-05
Episode 150, logq_z: -1.526656150817871, logmi: 2.9120128601789474e-06
Episode 151, logq_z: -1.5599759817123413, logmi: -2.681114710867405e-05
Episode 152, logq_z: -1.511284589767456, logmi: -1.3615936040878296e-06
Episode 153, logq_z: -1.6082488298416138, logmi: 2.5029294192790985e-06
Episode 154, logq_z: -1.5655090808868408, logmi: -1.603970304131508e-05
Episode 155, logq_z: -1.5315812826156616, logmi: -9.373296052217484e-06
Episode 156, logq_z: -1.5101230144500732, logmi: 5.727633833885193e-07
Episode 157, logq_z: -1.4986882209777832, logmi: -3.46512533724308e-05
Episode 158, logq_z: -1.5436190366744995, logmi: -6.176996976137161e-06
Episode 159, logq_z: -1.546629548072815, logmi: -6.4908526837825775e-06
Episode 160, logq_z: -1.542317509651184, logmi: -3.7599820643663406e-06
Episode 161, logq_z: -1.5558300018310547, logmi: -2.1398300305008888e-05
Episode 162, logq_z: -1.5161195993423462, logmi: -1.0850373655557632e-05
Episode 163, logq_z: -1.5241854190826416, logmi: 6.617046892642975e-06
Episode 164, logq_z: -1.5267446041107178, logmi: 7.366528734564781e-06
Episode 165, logq_z: -1.5252445936203003, logmi: -3.4366967156529427e-05
Episode 166, logq_z: -1.53699791431427, logmi: -2.0011793822050095e-05
Episode 167, logq_z: -1.5535353422164917, logmi: -6.073387339711189e-06
Episode 168, logq_z: -1.5358848571777344, logmi: -1.3205455616116524e-05
Episode 169, logq_z: -1.5294926166534424, logmi: -3.5456614568829536e-05
Episode 170, logq_z: -1.5306278467178345, logmi: 8.88574868440628e-06
Episode 171, logq_z: -1.5590254068374634, logmi: -3.866036422550678e-05
Episode 172, logq_z: -1.5312825441360474, logmi: -3.729271702468395e-05
Episode 173, logq_z: -1.5353251695632935, logmi: -3.8700178265571594e-05
Episode 174, logq_z: -1.5400103330612183, logmi: -4.623131826519966e-05
Episode 175, logq_z: -1.5346856117248535, logmi: -2.6498455554246902e-06
Episode 176, logq_z: -1.5437695980072021, logmi: -3.0002789571881294e-05
Episode 177, logq_z: -1.5177032947540283, logmi: 8.863629773259163e-06
Episode 178, logq_z: -1.5408055782318115, logmi: -3.4739961847662926e-05
Episode 179, logq_z: -1.5445811748504639, logmi: -3.557279706001282e-05
Episode 180, logq_z: -1.5224902629852295, logmi: -2.200482413172722e-05
Episode 181, logq_z: -1.5016874074935913, logmi: 2.0330306142568588e-05
Episode 182, logq_z: -1.5384588241577148, logmi: -8.832896128296852e-06
Episode 183, logq_z: -1.562334656715393, logmi: -1.3662967830896378e-05
Episode 184, logq_z: -1.5279393196105957, logmi: -1.0350020602345467e-05
Episode 185, logq_z: -1.5269407033920288, logmi: -3.703637048602104e-06
Episode 186, logq_z: -1.5402685403823853, logmi: -6.465008482336998e-06
Episode 187, logq_z: -1.5311567783355713, logmi: -2.4757813662290573e-05
Episode 188, logq_z: -1.5613840818405151, logmi: -1.3299752026796341e-05
